zones,cars,problems
a zone,jazz,spot hole
a zone,jazz,spot burr
a zone,jazz,sheet mismatch
a zone,jazz,hole mismatch
a zone,jazz,hole damage
a zone,jazz,spot miss
a zone,jazz,bulk head hole mismatch
a zone,jazz,gap b/w frnt flr & rr flr
a zone,jazz,sheet bend
a zone,jazz,baffle plate stud ng
a zone,wr-v,spot hole
a zone,wr-v,spot burr
a zone,wr-v,sheet mismatch
a zone,wr-v,hole mismatch
a zone,wr-v,hole damage
a zone,wr-v,spot miss
a zone,wr-v,bulk head hole mismatch
a zone,wr-v,gap b/w frnt flr & rr flr
a zone,wr-v,sheet bend
a zone,wr-v,baffle plate stud ng
a zone,city,spot hole
a zone,city,spot burr
a zone,city,sheet mismatch
a zone,city,hole mismatch
a zone,city,hole damage
a zone,city,spot miss
a zone,city,bulk head hole mismatch
a zone,city,gap b/w frnt flr & rr flr
a zone,city,sheet bend
a zone,city,baffle plate stud ng
a zone,br-v,spot hole
a zone,br-v,spot burr
a zone,br-v,sheet mismatch
a zone,br-v,hole mismatch
a zone,br-v,hole damage
a zone,br-v,spot miss
a zone,br-v,bulk head hole mismatch
a zone,br-v,gap b/w frnt flr & rr flr
a zone,br-v,sheet bend
a zone,br-v,baffle plate stud ng
a zone,amaze,spot hole
a zone,amaze,spot burr
a zone,amaze,sheet mismatch
a zone,amaze,hole mismatch
a zone,amaze,hole damage
a zone,amaze,spot miss
a zone,amaze,bulk head hole mismatch
a zone,amaze,gap b/w frnt flr & rr flr
a zone,amaze,sheet bend
a zone,amaze,baffle plate stud ng
b zone,jazz,dent
b zone,jazz,ding
b zone,jazz,spot hole
b zone,jazz,spot broken
b zone,jazz,sheet mismatch
b zone,jazz,hole mismatch
b zone,jazz,hole damage
b zone,jazz,spot miss
b zone,jazz,spot burr
b zone,jazz,spot undulation
b zone,jazz,gutter shift
b zone,jazz,sheet band
b zone,jazz,mig ng
b zone,jazz,striker plate ng
b zone,jazz,t stud shifting roofrail
b zone,jazz,door striket nut & spot ng
b zone,jazz,half spot
b zone,jazz,roof shift
b zone,jazz,roof arch spot ng
b zone,jazz,roof arch spot undulation
b zone,jazz,roof flange damage
d zone,jazz,dent
d zone,jazz,ding
d zone,jazz,spot hole
d zone,jazz,spot broken
d zone,jazz,sheet mismatch
d zone,jazz,door run rubber hole mismatch
d zone,jazz,hole damage
d zone,jazz,spot miss
d zone,jazz,spot burr
d zone,jazz,spot undulation
d zone,jazz,sheet bend
d zone,jazz,hemming open
d zone,jazz,hemming loose
d zone,jazz,deform/waviness
d zone,jazz,hood mig tag miss
c zone,jazz,hood/fender gap lh/rh
c zone,jazz,fender/ a plr gap lh/rh
c zone,jazz,fender/ frnt door gap lh/rh
